‘Ajl?n,32.3333,35.7528
‘Ajm?n,25.4056,55.4618
‘Amr?n,15.6594,43.9439
25 de Mayo,-37.8,-67.6833
28 de Noviembre,-51.65,-72.3
Aalborg,57.0337,9.9166
Aarau,47.3896,8.0524
Aarau,47.39,8.034
Aba,5.1004,7.35
Abadan,30.3307,48.2797
Abadla,31.0171,-2.7333
Abaetetuba,-1.7245,-48.8849
Abaí,-26.0296,-55.94
Abakaliki,6.3249,8.1137
Abakan,53.7037,91.445
Abancay,-13.6396,-72.89
Abau,-10.0426,148.565
Abaza,52.669,90.0954
Abbeville,29.9751,-92.1265
Abbeville,34.1787,-82.3774
Abbotsford,49.0504,-122.3
Abbottabad,34.1495,73.1995
Abéché,13.84,20.83
Abengourou,6.7304,-3.49
Abeokuta,7.1604,3.35
Aberaeron,52.25,-4.25
Aberdeen,57.1704,-2.08
Aberdeen,46.9768,-123.8083
Aberdeen,35.1345,-79.4314
Aberdeen,39.5146,-76.1731
Aberdeen,45.4647,-98.4678
Abha,18.2301,42.5001
Abidjan,5.309657,-4.012656
Abidjan,5.32,-4.04
Abilene,32.4543,-99.7384
Abilene,38.9229,-97.2247
Abim,2.7017,33.6761
Abingdon,36.7089,-81.9711
Abohar,30.1204,74.29
Aboisso,5.4667,-3.2
Abomey,7.1904,1.99
Abong Mbang,3.9837,13.1833
Abra Pampa,-22.7167,-65.7
Absecon,39.4221,-74.4941
Abu Dhabi,24.4667,54.3666
Abu Kamal,34.4504,40.9186
Abuja,9.0833,7.5333
Abunã,-9.6954,-65.3597
Acapulco,16.85,-99.916
Acaraú,-2.8896,-40.12
Acarigua,9.5804,-69.2
Acatlan,18.2,-98.05
Accra,5.55,-0.2166667
Accra,5.55,-0.2167
Achacachi,-16.0833,-68.6666
Achinsk,56.27,90.5
Acquaviva,43.95,12.4167
Açu,-5.5796,-36.9101
Acworth,34.0564,-84.6688
A? ??li‘,13.6957,44.7314
Ad Damaz?n,11.7704,34.35
Ad Damman,26.4282,50.0997
Ad Diwaniyah,31.9889,44.924
Ad Nabk,34.017,36.7333
Ada,45.8027,20.1285
Ada,34.7683,-96.6689
Ada,40.768,-83.8252
Adamstown,-25.0667,-130.0833
Adana,37.001667,35.328889
Adana,36.995,35.32
Adapazar?,40.8,30.415
?daži,57.0705,24.3371
Addis Ababa,9.0333,38.7
Addis Abeba,9.024325,38.749226
Addison,32.9587,-96.8356
Addison,41.9314,-88.0086
Adel,31.1316,-83.4249
Adelaide,-34.928661,138.598633
Adelaide,-34.935,138.6
Adelaide River,-13.2495,131.1
Adelanto,34.5868,-117.4411
Aden,12.7797,45.0095
Adigrat,14.2804,39.47
Ad?yaman,37.7704,38.2799
Adjumani,3.3614,31.8097
Ado Ekiti,7.6304,5.22
Adrar,27.87,-0.29
Adrian,41.8994,-84.0447
Afega,-13.7973,-171.8531
Afyon,38.7504,30.55
Agadez,16.9959,7.9828
Agadir,30.44,-9.62
Agago,2.8338,33.3336
Agapa,71.4504,89.25
Agartala,23.8354,91.28
Agboville,5.9403,-4.28
A?cab?di,40.0501,47.4594
Agdam,40.9053,45.5564
A?dam,39.991,46.9274
A?da?,40.647,47.4738
Agen,44.2004,0.6333
Aginskoye,51.1031,114.5228
Aglona,56.1333,27.0167
Agordat,15.549,37.8867
Agoura Hills,34.151,-118.7608
Agra,27.183333,78.016667
Agra,27.1704,78.015
A?r?,39.7198,43.0513
Agrinio,38.6218,21.4077
A?stafa,41.1148,45.4468
A?su,40.5692,48.3965
Agua Prieta,31.3223,-109.563
Aguascalientes,21.8795,-102.2904
Aguelhok,19.4549,0.8564
Ahar,38.4829,47.0629
Ahmadabad,23.033333,72.616667
Ahmedabad,23.0301,72.58
Ahmednagar,19.1104,74.75
Ahuachapán,13.919,-89.845
Ahvaz,31.28,48.72
Aiguá,-34.2,-54.75
Aiken,33.5303,-81.7271
Aïn Defla,36.2641,1.9679
Aïn Temouchent,35.2975,-1.1404
Aiquile,-18.1895,-65.18
Airmont,41.0994,-74.0989
Airway Heights,47.6464,-117.5802
Aix-en-Provence,43.52,5.45
Aizawl,23.7104,92.72
Aizkraukle,56.6029,25.2636
Aizpute,56.7211,21.6016
Ajaccio,41.9271,8.7283
Ajdabiya,30.77,20.22
Ajdovš?ina,45.8875,13.9111
Ajmer,26.45,74.64
Aketi,2.7405,23.78
Akhaltsikhe,41.639,42.9826
Akhtubinsk,48.2787,46.1687
Akita,39.71,140.09
Akjoujt,19.747,-14.391
Akmen?,56.25,22.75
Akn?ste,56.1615,25.7482
Akola,20.71,77.01
Akron,41.0802,-81.5219
Aksaray,38.3725,34.0254
Aksu,41.15,80.25
Aksum,14.1304,38.72
Akure,7.2504,5.2
Akureyi,65.6666,-18.1
Al ‘Az?z?yah,32.5319,13.0175
Al Ahmadi,29.0769,48.0838
Al Amarah,31.8416,47.1512
Al Aqabah,29.527,35.0777
Al Ayn,24.2305,55.74
Al B??ah,20.0129,41.4677
Al Bayda,32.7604,21.62
Al Bayda,13.979,45.574
Al Buraym?,24.2611,55.7903
Al Fallujah,33.3477,43.7773
Al Fujayrah,25.1234,56.3375
Al Ghaydah,16.2394,52.1638
Al Hasakah,36.4833,40.75
Al ?azm,16.1641,44.7769
Al Hillah,32.4721,44.4217
Al Hillah,23.4895,46.7564
Al Hudaydah,14.7979,42.953
Al Hufuf,25.3487,49.5856
Al Jab?n,14.704,43.599
Al Jaghbub,29.7504,24.5166
Al Jahra,29.3375,47.6581
Al Jawf,24.2,23.29
Al Jubayl,27.0046,49.646
Al Karak,31.1851,35.7047
Al Kharj,24.1556,47.312
Al Khawr,25.6839,51.5058
Al Khums,32.6604,14.26
Al Kufrah,24.1667,23.2696
Al Kut,32.4907,45.8304
Al Ladhiqiyah,35.54,35.78
Al Mafraq,32.2833,36.2333
Al Ma?w?t,15.4701,43.5448
Al Marj,32.5005,20.83
Al Mubarraz,25.4291,49.5659
Al Mukalla,14.5412,49.1259
Al Musayyib,32.7786,44.29
Al Qamishli,37.03,41.23
Al Qunaytirah,33.1257,35.8236
Al Qunfudhah,19.1264,41.0789
Al Quwayiyah,24.0737,45.2806
Al Wajh,26.2324,36.4636
Al Wakrah,25.1715,51.6034
Alabaster,33.2197,-86.8233
Alabel,6.1018,125.2905
Alagoinhas,-12.14,-38.43
Alajuela,10.02,-84.23
Alameda,37.767,-122.2673
Alamo,26.1795,-98.1183
Alamo Heights,29.4828,-98.4681
Alamogordo,32.8834,-105.9627
Alamosa,37.4755,-105.877
