33333
ro,teisu,Teisu,29,,44.35,24.133333
ro,teiu din deal,Teiu din Deal,42,,44.666667,25.1
ro,teiu din vale,Teiu din Vale,42,,44.65,25.133333
ro,teiul din deal,Teiul din Deal,42,,44.666667,25.1
ro,teiul din vale,Teiul din Vale,42,,44.65,25.133333
ro,teiul,Teiul,26,,44.766667,24.15
ro,teiul,Teiul,39,,44.9,24.283333
ro,teius,Teius,01,7112,46.2,23.683333
ro,teius,Teius,04,,46.316667,26.966667
ro,teius,Teius,29,,44.633333,24.533333
ro,teius,Teius,40,,45.6,27.066667
ro,teiusul,Teiusul,29,,44.35,24.133333
ro,teiusul,Teiusul,39,,45.083333,24.25
ro,teiusu,Teiusu,03,,44.816667,24.75
ro,teiusu,Teiusu,29,,44.35,24.133333
ro,teiusu,Teiusu,39,,45.083333,24.25
ro,teiusu,Teiusu,42,,44.166111,26.276667
ro,teiu,Teiu,01,,46.483333,22.966667
ro,teiu,Teiu,03,,44.816667,24.75
ro,teiu,Teiu,21,,45.9,22.5
ro,teiu,Teiu,26,,44.25,23.283333
ro,teiu,Teiu,39,,44.9,24.283333
ro,teiu,Teiu,42,1853,44.65,25.133333
ro,teiu-varasti,Teiu-Varasti,01,,46.5,22.95
ro,tejgheaua,Tejgheaua,41,,44.316667,26.566667
ro,tekerghiol,Tekerghiol,14,,44.05,28.6
ro,tekeropatak,Tekeropatak,20,,46.683333,25.6
ro,tekeujfalu,Tekeujfalu,27,,46.85,24.566667
ro,tela,Tela,02,,45.983333,22.066667
ro,telcisor,Telcisor,06,,47.433333,24.4
ro,telciul,Telciul,06,,47.433333,24.4
ro,telciu,Telciu,06,5314,47.433333,24.4
ro,teleac,Teleac,01,,46.083333,23.666667
ro,teleac,Teleac,20,,46.25,25.316667
ro,teleac,Teleac,27,,46.683333,24.8
ro,teleacul,Teleacul,27,,46.683333,24.8
ro,teleajen-cheia,Teleajen-Cheia,09,,45.45,25.933333
ro,teleajen,Teleajen,09,,45.45,25.933333
